,site_name,lat,lon,include,comment,utm_north,utm_east,utm_zone,kommunenummer,kom_name,colour,site_id
0,Njahkajavri,68.883247,23.752543,1,,7644795.287814458,369483.6455866856,35,2011,Kautokeino,r,1
1,Vuomajeaggi,68.9673422,24.0780324,1,,7653505.9722100645,383002.47380154266,35,2011,Kautokeino,r,2
2,Juovvajohka,69.1043833,24.4443466,1,,7668120.860466817,398298.6195531033,35,2011,Kautokeino,r,3
3,Caskin-jeaggi / Caskinjohka,68.94561,25.5097116,1,,7649022.608057938,440254.8237522467,35,2021,Karasjok,b,4
4,Karasjok,69.4448,25.3864,1,"Approximate location near Karasjok. Taken from https://helikopter.flights/quotes/Price_Taxi_Alta,Norge_Karasjokkommune,Norge.pdf",7704794.282289494,436777.59009725595,35,2021,Karasjok,b,5
5,Fáhttevárleakšá,69.6093778,24.9597888,1,,7723636.852435376,420679.5022493938,35,2021,Karasjok,b,6
6,Leavvajohka,69.8768567,25.9269613,1,,7752502.862078635,458801.01303530793,35,2025,Tana,g,7
7,Ovddaldasvárri,69.9647633,26.9157929,1,,7761945.86095985,496780.2829625072,35,2025,Tana,g,8
8,Gurrojohka,69.9652562,26.0775485,1,,7762265.340123175,464731.41287878057,35,2025,Tana,g,9
9,Jeakkášjávri,70.1406075,27.6158273,1,,7781671.457594685,523348.1203818683,35,2025,Tana,g,10
